id,name,reaction
b3737,atpE,ATPS4rpp
b2278,nuoL,NADH16pp/17pp/18pp
b0429,cyoD,CYTBO3_4pp
b3734,atpA,ATPS4rpp
b2288,nuoA,NADH16pp/17pp/18pp
b2282,nuoH,NADH16pp/17pp/18pp
b2284,nuoF,NADH16pp/17pp/18pp
b2279,nuoK,NADH16pp/17pp/18pp
b0430,cyoC,CYTBO3_4pp
b2281,nuoI,NADH16pp/17pp/18pp
b1779,gapA,GAPD
b0431,cyoB,CYTBO3_4pp
b2285,nuoE,NADH16pp/17pp/18pp
b2779,eno,ENO
b3733,atpG,ATPS4rpp
b0010,satP,ACt2rpp
b2926,pgk,PGK
b3738,atpB,ATPS4rpp
b2276,nuoN,NADH16pp/17pp/18pp
b3735,atpH,ATPS4rpp
b3736,atpF,ATPS4rpp
b2280,nuoJ,NADH16pp/17pp/18pp
b2287,nuoB,NADH16pp/17pp/18pp
b2283,nuoG,NADH16pp/17pp/18pp
b2277,nuoM,NADH16pp/17pp/18pp
b3731,atpC,ATPS4rpp
b2286,nuoC,NADH16pp/17pp/18pp
b3732,atpD,ATPS4rpp
b0432,cyoA,CYTBO3_4pp
