mutant,ker rank,gen rank,mean acc curves,std acc curves,mean acc input,std acc input,,kr - gr,
iML1515_GX_mut_1,64,49,0.9989,0.0034,0.6585,0.0823,,15,0.9989
iML1515_GX_mut_10,64,48,0.9989,0.004,0.6719,0.0823,,16,0.9989
iML1515_GX_mut_11,15,13,0.6337,0.0564,0.6435,0.082,,2,0.6337
iML1515_GX_mut_12,64,48,0.9959,0.0055,0.6666,0.092,,16,0.9959
iML1515_GX_mut_13,64,48,0.9986,0.0055,0.6586,0.08,,16,0.9986
iML1515_GX_mut_14,64,42,0.8667,0.0435,0.6565,0.0796,,22,0.8667
iML1515_GX_mut_15,64,49,0.9986,0.0045,0.6574,0.0746,,15,0.9986
iML1515_GX_mut_16,64,47,0.9998,0.0014,0.6391,0.0849,,17,0.9998
iML1515_GX_mut_17,15,13,0.6517,0.068,0.666,0.0913,,2,0.6517
iML1515_GX_mut_18,64,49,0.9959,0.006,0.6561,0.0895,,15,0.9959
iML1515_GX_mut_19,64,48,0.9954,0.0062,0.6643,0.0793,,16,0.9954
iML1515_GX_mut_2,64,48,0.9938,0.0075,0.6573,0.0852,,16,0.9938
iML1515_GX_mut_20,64,49,0.996,0.0065,0.6574,0.0816,,15,0.996
iML1515_GX_mut_21,64,49,1,0,0.6607,0.0931,,15,1
iML1515_GX_mut_22,64,48,0.9975,0.0054,0.6489,0.0866,,16,0.9975
iML1515_GX_mut_23,64,48,0.9894,0.0175,0.6587,0.083,,16,0.9894
iML1515_GX_mut_24,64,48,0.9986,0.0049,0.6542,0.0897,,16,0.9986
iML1515_GX_mut_25,64,48,0.9986,0.0035,0.659,0.0831,,16,0.9986
iML1515_GX_mut_26,64,49,0.9919,0.0111,0.6692,0.0876,,15,0.9919
iML1515_GX_mut_27,64,48,0.9925,0.0098,0.6451,0.0888,,16,0.9925
iML1515_GX_mut_28,64,49,0.9985,0.0036,0.6621,0.0896,,15,0.9985
iML1515_GX_mut_29,64,48,0.9985,0.0043,0.6541,0.0919,,16,0.9985
iML1515_GX_mut_3,64,48,0.9999,0.001,0.6661,0.0825,,16,0.9999
iML1515_GX_mut_4,64,49,0.9917,0.0068,0.6595,0.0741,,15,0.9917
iML1515_GX_mut_5,64,48,0.9972,0.0049,0.6474,0.0855,,16,0.9972
iML1515_GX_mut_6,64,48,0.9874,0.0118,0.646,0.0748,,16,0.9874
iML1515_GX_mut_7,64,48,0.9981,0.0063,0.6651,0.0889,,16,0.9981
iML1515_GX_mut_8,64,48,0.9993,0.0026,0.6515,0.0781,,16,0.9993
iML1515_GX_mut_9,64,48,0.9936,0.0057,0.6422,0.0775,,16,0.9936
