timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,86,49,0.9973,0.0066,0.662,0.0864
2,198,86,49,0.9979,0.006,0.6496,0.0879
3,197,86,49,0.9991,0.004,0.6451,0.0752
4,196,86,49,0.9985,0.0052,0.6641,0.0811
5,195,87,49,0.9993,0.0032,0.6556,0.0878
6,194,87,49,0.9995,0.0026,0.6529,0.0791
7,193,87,49,0.9989,0.0044,0.6742,0.0826
8,192,87,49,0.9981,0.0056,0.6661,0.0899
9,191,87,49,0.9991,0.004,0.649,0.0814
10,190,87,49,0.9982,0.0055,0.6747,0.0776
11,189,87,49,0.9982,0.0057,0.6602,0.0843
12,188,87,49,0.9987,0.005,0.6711,0.0855
13,187,87,49,0.9988,0.0043,0.6605,0.0829
14,186,87,49,0.9976,0.0062,0.6563,0.0825
15,185,87,49,0.9987,0.0044,0.6576,0.0965
16,184,87,49,0.9989,0.0044,0.6522,0.0788
17,183,87,49,0.9985,0.0052,0.6667,0.0879
18,182,87,49,0.9991,0.004,0.6607,0.0783
19,181,87,49,0.9986,0.0051,0.6636,0.0977
20,180,87,49,0.999,0.0044,0.6618,0.0898
21,179,87,49,0.9981,0.0056,0.6594,0.0889
22,178,87,49,0.9984,0.005,0.6487,0.0849
23,177,87,49,0.9986,0.0049,0.6564,0.0905
24,176,87,49,0.9988,0.0041,0.6567,0.0838
25,175,87,49,0.9975,0.0064,0.6463,0.0917
26,174,87,49,0.9988,0.0045,0.6578,0.079
27,173,87,49,0.9975,0.0065,0.6618,0.0802
28,172,87,49,0.9992,0.0034,0.6628,0.0936
29,171,87,49,0.9989,0.0042,0.6652,0.0816
30,170,87,49,0.9994,0.0034,0.671,0.086
31,169,87,49,0.9986,0.0049,0.659,0.0861
32,168,87,49,0.9993,0.0035,0.6497,0.0858
33,167,87,49,0.9987,0.0046,0.6521,0.0927
34,166,87,49,0.9983,0.0055,0.6584,0.0906
35,165,87,49,0.9996,0.0024,0.6575,0.0753
