timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,90,54,0.8697,0.0479,0.6553,0.0714
2,198,90,54,0.8675,0.0509,0.6588,0.0845
3,197,89,54,0.8658,0.0469,0.6607,0.0829
4,196,88,54,0.8665,0.0505,0.6629,0.0841
5,195,87,53,0.8714,0.0477,0.6556,0.0773
6,194,86,53,0.8643,0.0509,0.6731,0.0843
7,193,85,53,0.8594,0.0517,0.6567,0.0892
8,192,84,53,0.864,0.0514,0.6689,0.0859
9,191,83,53,0.8578,0.0538,0.668,0.0875
10,190,82,53,0.8602,0.0515,0.6624,0.0718
11,189,81,53,0.8529,0.0555,0.6613,0.0846
12,188,80,53,0.8501,0.0441,0.6553,0.083
13,187,79,53,0.8451,0.0567,0.6515,0.0671
14,186,78,52,0.8461,0.0444,0.6408,0.0849
15,185,78,52,0.8289,0.0583,0.6609,0.0857
16,184,77,51,0.8212,0.0484,0.642,0.0813
17,183,76,50,0.8344,0.0475,0.6666,0.0955
18,182,75,49,0.8261,0.047,0.655,0.0813
19,181,74,49,0.8194,0.0486,0.6565,0.0856
20,180,74,48,0.827,0.0575,0.6429,0.0925
21,179,73,48,0.8266,0.0567,0.6552,0.0833
22,178,72,47,0.8291,0.0582,0.6645,0.0915
23,177,71,46,0.8281,0.0464,0.6608,0.078
24,176,71,46,0.824,0.0494,0.6508,0.0885
25,175,70,45,0.8285,0.0529,0.6641,0.0709
26,174,69,44,0.831,0.0509,0.6568,0.0797
27,173,68,43,0.8301,0.052,0.6576,0.0852
28,172,67,42,0.8181,0.0527,0.6425,0.0797
29,171,67,41,0.8074,0.0602,0.6545,0.0917
30,170,66,40,0.8151,0.0557,0.6592,0.104
31,169,66,39,0.8033,0.0539,0.6508,0.0853
32,168,65,39,0.8014,0.055,0.6559,0.0718
33,167,64,38,0.7925,0.0497,0.661,0.0885
34,166,63,38,0.7829,0.0575,0.6439,0.0797
35,165,62,37,0.7817,0.0604,0.6594,0.0879
36,164,61,37,0.7817,0.0597,0.6633,0.0902
37,163,61,36,0.7866,0.0509,0.6624,0.0902
38,162,60,35,0.7787,0.0577,0.6613,0.0811
39,161,59,34,0.7879,0.0526,0.6761,0.0742
40,160,58,33,0.7892,0.0597,0.6614,0.0905
41,159,57,33,0.7775,0.0532,0.6605,0.0876
42,158,56,32,0.7865,0.0491,0.6556,0.0877
43,157,55,32,0.774,0.0573,0.6566,0.082
44,156,54,32,0.7606,0.0586,0.6525,0.0848
45,155,53,31,0.763,0.0595,0.6603,0.0851
46,154,52,31,0.7581,0.0588,0.6563,0.0818
47,153,52,31,0.7508,0.0596,0.6441,0.0718
48,152,51,31,0.7502,0.0572,0.6688,0.0748
49,151,50,31,0.7417,0.0559,0.6674,0.0819
50,150,49,30,0.735,0.0562,0.667,0.0917
51,149,49,30,0.7333,0.0643,0.66,0.0934
52,148,48,30,0.7359,0.0596,0.657,0.0785
53,147,47,30,0.7306,0.0624,0.6418,0.0861
54,146,47,30,0.721,0.0601,0.647,0.0827
55,145,46,30,0.7275,0.0619,0.6633,0.0798
56,144,45,30,0.7389,0.0615,0.6522,0.0772
57,143,45,30,0.7271,0.0601,0.6519,0.0806
58,142,45,30,0.7278,0.0592,0.6587,0.0953
59,141,44,30,0.7254,0.0629,0.6515,0.0759
60,140,43,30,0.7077,0.0538,0.656,0.0797
61,139,42,30,0.7076,0.0648,0.6638,0.0777
62,138,42,29,0.6999,0.0622,0.6579,0.09
63,137,41,29,0.7053,0.0621,0.6605,0.0734
64,136,41,29,0.6993,0.0601,0.6483,0.0866
65,135,40,29,0.702,0.06,0.6515,0.0895
66,134,40,29,0.6857,0.05,0.6559,0.0878
67,133,39,29,0.6982,0.067,0.6586,0.089
68,132,39,29,0.6992,0.0686,0.6623,0.0946
69,131,39,29,0.7019,0.0666,0.6644,0.0859
70,130,38,29,0.6931,0.0685,0.6456,0.079
71,129,37,29,0.6787,0.0671,0.6603,0.088
72,128,37,29,0.686,0.0772,0.6649,0.0768
73,127,36,28,0.6913,0.0672,0.6683,0.0825
74,126,36,28,0.6775,0.0635,0.6435,0.0827
75,125,36,28,0.6813,0.0634,0.6544,0.0755
76,124,35,28,0.6797,0.0759,0.6591,0.0947
77,123,35,28,0.6875,0.07,0.6738,0.0812
78,122,35,28,0.6861,0.0724,0.6583,0.0916
79,121,34,28,0.6838,0.0662,0.6574,0.0827
80,120,34,27,0.6755,0.0686,0.6568,0.0888
