timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,84,49,0.9924,0.013,0.6429,0.0868
2,198,84,49,0.99,0.0139,0.657,0.0861
3,197,84,49,0.9939,0.0112,0.6573,0.0847
4,196,84,49,0.9922,0.0129,0.6539,0.0975
5,195,84,49,0.9918,0.0132,0.676,0.0865
6,194,84,49,0.9914,0.0133,0.6593,0.0788
7,193,84,49,0.9908,0.0134,0.6587,0.0868
8,192,84,49,0.9905,0.0137,0.6682,0.0925
9,191,84,49,0.9918,0.013,0.6564,0.0833
10,190,84,49,0.9898,0.0141,0.6559,0.0878
11,189,84,49,0.9915,0.0135,0.6428,0.0956
12,188,84,49,0.991,0.0134,0.6499,0.0861
13,187,84,49,0.991,0.0135,0.6695,0.0967
14,186,84,49,0.994,0.0116,0.6628,0.0835
15,185,84,49,0.9933,0.0118,0.6485,0.0818
16,184,84,49,0.9933,0.0125,0.6656,0.0868
17,183,84,49,0.9924,0.0128,0.6684,0.0779
18,182,84,49,0.9911,0.0138,0.6641,0.0799
19,181,84,49,0.99,0.0146,0.6661,0.0861
20,180,84,49,0.991,0.014,0.6542,0.0879
21,179,84,49,0.9917,0.0133,0.6549,0.079
22,178,84,49,0.9882,0.0158,0.6557,0.0886
23,177,84,49,0.9928,0.0127,0.6489,0.0896
24,176,84,49,0.9924,0.0129,0.6534,0.0838
25,175,84,49,0.9927,0.0129,0.6543,0.0893
26,174,84,49,0.9913,0.0138,0.6565,0.0886
27,173,84,49,0.9939,0.0116,0.6393,0.0926
28,172,84,49,0.9914,0.0135,0.6553,0.0775
29,171,84,49,0.9904,0.0139,0.6556,0.0731
30,170,84,49,0.9931,0.0124,0.6582,0.0767
31,169,84,49,0.993,0.0124,0.6617,0.0881
32,168,84,49,0.991,0.0137,0.6519,0.0882
33,167,84,49,0.9914,0.0134,0.655,0.0907
34,166,84,49,0.9915,0.0134,0.6704,0.0799
35,165,84,49,0.9905,0.0142,0.6431,0.0754
36,164,84,49,0.9909,0.0136,0.6639,0.0793
37,163,84,49,0.9897,0.0144,0.66,0.0845
38,162,84,49,0.9911,0.0134,0.6684,0.0881
39,161,84,49,0.9892,0.0142,0.6626,0.0872
40,160,84,49,0.992,0.0132,0.6537,0.0789
41,159,84,49,0.9923,0.0132,0.6502,0.0821
42,158,84,49,0.9931,0.0123,0.6501,0.0962
43,157,84,49,0.991,0.0136,0.6639,0.0791
44,156,84,49,0.9909,0.0134,0.6578,0.0848
45,155,84,49,0.9918,0.0129,0.6515,0.0916
46,154,84,49,0.9909,0.0137,0.6485,0.081
47,153,84,49,0.9892,0.0142,0.645,0.0849
48,152,84,49,0.9924,0.0128,0.6449,0.078
49,151,84,49,0.9923,0.0128,0.6618,0.0798
50,150,84,49,0.9907,0.0139,0.6541,0.0894
51,149,84,49,0.9916,0.0137,0.6531,0.0811
52,148,84,49,0.9921,0.0129,0.6518,0.0765
53,147,84,49,0.9906,0.0137,0.6608,0.0867
54,146,84,49,0.9934,0.0123,0.666,0.0805
55,145,84,49,0.9925,0.0128,0.6478,0.0851
56,144,84,49,0.9911,0.0139,0.6448,0.09
57,143,84,49,0.9901,0.0139,0.6539,0.0886
58,142,84,49,0.9906,0.014,0.6579,0.086
59,141,84,49,0.9915,0.0131,0.6438,0.0847
60,140,84,49,0.99,0.0133,0.6527,0.0713
61,139,84,49,0.9907,0.0139,0.6591,0.0821
62,138,84,49,0.9939,0.0118,0.6574,0.0829
63,137,84,49,0.9926,0.0126,0.6635,0.0788
64,136,84,49,0.992,0.0131,0.6522,0.0824
65,135,84,49,0.9917,0.0139,0.6568,0.0751
66,134,84,49,0.9917,0.0135,0.6543,0.0785
67,133,84,49,0.9928,0.0123,0.661,0.0837
68,132,84,49,0.9921,0.0131,0.666,0.0904
69,131,84,49,0.9906,0.0137,0.6515,0.0756
70,130,84,49,0.9921,0.013,0.6495,0.0865
71,129,84,50,0.9907,0.0136,0.6664,0.0786
72,128,85,50,0.9906,0.0141,0.6675,0.0894
73,127,84,50,0.9929,0.0131,0.6675,0.0781
74,126,83,50,0.9903,0.0139,0.6525,0.0793
75,125,82,50,0.9933,0.0122,0.6445,0.0914
76,124,81,50,0.9902,0.0144,0.6564,0.0872
77,123,80,50,0.989,0.0143,0.6564,0.0811
78,122,79,50,0.987,0.0209,0.6557,0.0756
79,121,78,49,0.9856,0.0243,0.6789,0.0716
80,120,77,49,0.9811,0.0237,0.6454,0.0859
81,119,76,48,0.9805,0.0207,0.6689,0.0848
82,118,75,48,0.9739,0.0303,0.6707,0.0768
83,117,74,48,0.9804,0.0277,0.6497,0.089
84,116,73,48,0.9724,0.0299,0.6636,0.0804
85,115,72,47,0.9576,0.0347,0.6582,0.0868
86,114,71,47,0.9349,0.0391,0.6497,0.0889
87,113,70,46,0.9331,0.0412,0.6576,0.0861
88,112,70,45,0.9328,0.0403,0.6522,0.0926
89,111,69,44,0.9245,0.0433,0.6499,0.0859
90,110,68,43,0.9325,0.0379,0.6498,0.086
91,109,67,42,0.9201,0.0418,0.6621,0.0803
92,108,66,42,0.9238,0.0374,0.6573,0.0781
93,107,65,41,0.9243,0.0356,0.6577,0.0834
94,106,64,41,0.9231,0.0438,0.6546,0.0846
95,105,63,40,0.9186,0.0402,0.6589,0.0761
96,104,62,39,0.9184,0.0344,0.6652,0.0829
97,103,61,38,0.9028,0.0403,0.6441,0.0795
98,102,60,37,0.8884,0.0386,0.6727,0.088
99,101,59,36,0.8707,0.0454,0.6714,0.0804
100,100,58,35,0.8662,0.0437,0.662,0.087
101,99,57,35,0.8584,0.0465,0.6518,0.0915
102,98,56,34,0.8647,0.0445,0.6626,0.0958
103,97,55,33,0.8595,0.0449,0.657,0.0863
104,96,54,32,0.8365,0.0522,0.6336,0.0842
105,95,53,31,0.8471,0.0442,0.6627,0.0789
106,94,52,31,0.8449,0.0608,0.6554,0.0864
107,93,51,30,0.8266,0.0559,0.6714,0.0906
108,92,50,29,0.8208,0.0554,0.6542,0.082
109,91,49,28,0.7961,0.0456,0.648,0.0815
110,90,48,28,0.8044,0.0521,0.6503,0.0902
111,89,47,27,0.7903,0.0482,0.655,0.0813
112,88,46,26,0.7802,0.0532,0.6594,0.0814
113,87,45,26,0.7852,0.0594,0.6478,0.0854
114,86,44,25,0.7665,0.0519,0.6451,0.0811
115,85,44,25,0.7698,0.0538,0.6521,0.0915
116,84,43,25,0.7575,0.0618,0.6616,0.0858
117,83,42,24,0.7412,0.0588,0.6555,0.0842
118,82,41,24,0.7334,0.0687,0.6494,0.0824
119,81,40,24,0.7425,0.0637,0.6703,0.0895
120,80,39,24,0.7342,0.0661,0.6571,0.0768
121,79,38,23,0.7393,0.0657,0.6507,0.0828
122,78,37,23,0.7381,0.0699,0.6608,0.0868
123,77,37,23,0.7298,0.0576,0.6438,0.0916
124,76,36,23,0.7098,0.0624,0.6582,0.0726
125,75,35,23,0.7122,0.061,0.6572,0.0831
126,74,35,22,0.6956,0.0688,0.6523,0.0861
127,73,34,21,0.7087,0.0735,0.6651,0.08
128,72,33,20,0.6888,0.0597,0.6536,0.0795
129,71,33,20,0.6882,0.063,0.6507,0.0858
130,70,32,19,0.674,0.051,0.6469,0.0766
131,69,32,18,0.6623,0.0476,0.6471,0.0827
132,68,31,17,0.6654,0.0625,0.6389,0.0833
133,67,31,16,0.6669,0.0639,0.6557,0.0809
134,66,30,15,0.6649,0.0601,0.6366,0.0869
135,65,30,14,0.6673,0.0567,0.6556,0.0826
136,64,29,14,0.6509,0.0598,0.6569,0.084
137,63,29,13,0.6474,0.0611,0.6699,0.0852
138,62,28,12,0.6333,0.0588,0.6577,0.0844
139,61,28,11,0.6354,0.0576,0.639,0.0765
140,60,27,10,0.633,0.054,0.6597,0.072
141,59,26,10,0.6463,0.0533,0.6539,0.0885
142,58,26,10,0.6349,0.0613,0.6494,0.0869
143,57,26,9,0.6459,0.0591,0.6737,0.0869
144,56,25,9,0.6517,0.0698,0.6534,0.0777
145,55,24,9,0.6313,0.0582,0.6658,0.0862
146,54,24,8,0.6223,0.0589,0.6456,0.0836
147,53,23,8,0.6285,0.0506,0.6566,0.0853
148,52,23,8,0.6132,0.0646,0.6508,0.095
149,51,22,8,0.598,0.051,0.6476,0.0952
150,50,22,8,0.6135,0.064,0.6562,0.0774
151,49,21,8,0.609,0.0589,0.6513,0.0821
152,48,21,8,0.613,0.0673,0.6519,0.0814
153,47,20,8,0.601,0.0604,0.6468,0.0806
154,46,19,7,0.602,0.0624,0.6406,0.083
155,45,19,7,0.612,0.0668,0.6426,0.0904
156,44,18,7,0.617,0.0657,0.6557,0.0846
157,43,17,7,0.617,0.0649,0.6451,0.0864
158,42,17,7,0.6235,0.0598,0.6613,0.0777
159,41,16,7,0.617,0.0649,0.6553,0.0836
160,40,16,7,0.608,0.0599,0.6504,0.079
161,39,16,7,0.603,0.0551,0.6526,0.0811
162,38,15,7,0.621,0.0645,0.6557,0.0767
163,37,15,7,0.6165,0.0697,0.6553,0.0819
164,36,14,6,0.619,0.0655,0.6685,0.0837
165,35,14,6,0.626,0.0638,0.6636,0.0675
166,34,14,6,0.604,0.0551,0.6588,0.0838
167,33,13,6,0.609,0.0593,0.6691,0.0869
168,32,13,6,0.6179,0.0679,0.6477,0.0952
169,31,13,6,0.6004,0.0522,0.6516,0.0778
170,30,12,6,0.6083,0.0615,0.6665,0.0852
171,29,12,6,0.5987,0.0592,0.6504,0.0946
172,28,12,6,0.5951,0.059,0.6632,0.0814
173,27,11,6,0.6031,0.0553,0.6497,0.0849
174,26,11,6,0.5901,0.0708,0.6551,0.0884
175,25,11,6,0.5891,0.06,0.6465,0.0743
176,24,11,6,0.5939,0.0677,0.66,0.0821
177,23,11,6,0.5955,0.0718,0.6501,0.0733
178,22,11,5,0.5955,0.0648,0.6632,0.0797
179,21,10,5,0.603,0.0696,0.6592,0.094
180,20,10,5,0.592,0.0724,0.6763,0.0911
181,19,10,5,0.59,0.0663,0.6633,0.0828
182,18,10,5,0.5955,0.0641,0.6621,0.0775
183,17,10,5,0.593,0.0752,0.6511,0.0862
184,16,10,5,0.6005,0.0838,0.6708,0.0807
185,15,9,5,0.603,0.0796,0.656,0.085
186,14,9,5,0.5955,0.0686,0.6502,0.0725
187,13,9,5,0.602,0.0648,0.6514,0.081
188,12,9,5,0.601,0.0731,0.6572,0.089
189,11,9,5,0.6026,0.0586,0.6632,0.0818
190,10,8,5,0.6009,0.0694,0.6645,0.0831
191,9,8,5,0.5902,0.0699,0.6624,0.0845
192,8,8,4,0.6015,0.0655,0.6529,0.0836
193,7,7,4,0.5952,0.0736,0.6564,0.0932
194,6,6,4,0.5978,0.0533,0.6578,0.0811
195,5,5,4,0.5962,0.0669,0.6492,0.0868
196,4,4,4,0.5872,0.0663,0.6433,0.091
197,3,3,3,0.5879,0.0567,0.6435,0.0851
198,2,2,2,0.6014,0.064,0.6573,0.0843
199,1,1,1,0.5985,0.0679,0.6504,0.0886
