timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,16,9,0.6852,0.0587,0.6567,0.0817
2,198,15,9,0.6777,0.0568,0.6564,0.0766
3,197,14,8,0.6882,0.065,0.6511,0.0806
4,196,13,7,0.681,0.0619,0.6529,0.0865
5,195,13,6,0.6743,0.0596,0.6636,0.0813
6,194,12,5,0.6805,0.0618,0.6512,0.0751
7,193,12,5,0.6749,0.0568,0.6683,0.0917
8,192,11,4,0.6768,0.0631,0.6524,0.0823
9,191,10,4,0.6767,0.0684,0.6591,0.0826
10,190,9,4,0.6556,0.0577,0.6537,0.0871
11,189,9,4,0.6583,0.0612,0.655,0.0788
12,188,8,4,0.6491,0.0529,0.6656,0.0797
13,187,8,4,0.6501,0.0606,0.6459,0.0815
14,186,7,4,0.6468,0.055,0.6438,0.0847
15,185,7,3,0.6485,0.0605,0.6522,0.0887
16,184,7,3,0.6363,0.0606,0.6388,0.0836
17,183,7,3,0.6466,0.0784,0.6628,0.0877
18,182,7,2,0.6252,0.0613,0.6443,0.0868
19,181,7,2,0.6207,0.0677,0.6539,0.0788
20,180,7,2,0.6287,0.0729,0.6467,0.0925
21,179,7,2,0.6104,0.0648,0.6635,0.082
22,178,7,2,0.6023,0.0605,0.6475,0.0851
23,177,7,2,0.6029,0.072,0.6641,0.0983
24,176,7,1,0.5943,0.064,0.6445,0.0762
25,175,6,1,0.6044,0.0814,0.6653,0.0879
26,174,6,1,0.5984,0.0634,0.6631,0.0791
27,173,5,1,0.5878,0.068,0.6626,0.0842
28,172,5,1,0.5905,0.0624,0.6546,0.0821
29,171,5,1,0.5991,0.0732,0.6492,0.0848
30,170,4,1,0.5917,0.0645,0.6587,0.0882
31,169,4,1,0.6077,0.0773,0.6685,0.0861
32,168,4,1,0.6016,0.0743,0.6686,0.0795
33,167,4,1,0.5955,0.0686,0.6562,0.0807
34,166,4,1,0.5833,0.0617,0.6423,0.0833
35,165,4,1,0.5975,0.0582,0.6542,0.0906
36,164,4,1,0.594,0.0681,0.6478,0.0793
37,163,4,1,0.5942,0.0656,0.6508,0.0824
38,162,3,1,0.5917,0.0664,0.6678,0.0795
39,161,3,1,0.5976,0.0668,0.6639,0.0821
40,160,3,1,0.5972,0.0647,0.6486,0.0864
41,159,3,1,0.5866,0.0655,0.6687,0.0932
42,158,3,1,0.5915,0.0612,0.6492,0.0789
43,157,3,1,0.5875,0.0657,0.6515,0.0916
44,156,3,1,0.5972,0.0759,0.6452,0.0897
45,155,3,1,0.582,0.0605,0.6428,0.0758
46,154,3,1,0.6083,0.0731,0.6585,0.0934
47,153,3,1,0.5919,0.0653,0.6639,0.0853
48,152,3,1,0.5876,0.0711,0.6539,0.0963
49,151,2,1,0.5895,0.06,0.6563,0.0795
50,150,2,1,0.5964,0.0691,0.6516,0.0792
51,149,2,1,0.5806,0.0672,0.654,0.0902
52,148,2,1,0.587,0.0582,0.6455,0.0838
53,147,2,1,0.5887,0.062,0.6504,0.0748
54,146,2,1,0.5933,0.0743,0.6633,0.0951
55,145,1,1,0.5918,0.0639,0.6525,0.0744
56,144,1,1,0.5911,0.0648,0.659,0.0865
57,143,1,1,0.5953,0.0666,0.6552,0.0813
58,142,1,1,0.5962,0.0692,0.6741,0.0851
59,141,1,1,0.5951,0.0701,0.6546,0.0819
60,140,1,1,0.5874,0.0657,0.6692,0.0878
