timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,100,57,0.9991,0.0029,0.6593,0.0894
2,198,100,57,0.999,0.003,0.6448,0.0846
3,197,100,57,0.9988,0.0032,0.6689,0.074
4,196,100,57,0.9989,0.0031,0.6674,0.0919
5,195,100,57,0.9989,0.0031,0.6674,0.0932
6,194,100,57,0.9986,0.0035,0.6499,0.0786
7,193,100,57,0.9986,0.0037,0.6529,0.0893
8,192,100,58,0.9985,0.0036,0.6556,0.0931
9,191,100,58,0.999,0.003,0.6433,0.0766
10,190,100,58,0.9993,0.0026,0.65,0.0882
11,189,100,58,0.9987,0.0034,0.6603,0.0961
12,188,100,58,0.9987,0.0034,0.6482,0.078
13,187,100,58,0.9984,0.0037,0.6505,0.0872
14,186,100,58,0.9991,0.0029,0.6592,0.079
15,185,100,58,0.999,0.003,0.6445,0.0961
16,184,100,58,0.9989,0.0031,0.6566,0.0877
17,183,100,58,0.999,0.003,0.6674,0.0783
18,182,100,58,0.9985,0.0036,0.6459,0.0801
19,181,100,58,0.9987,0.0034,0.6495,0.0841
20,180,100,59,0.9988,0.0032,0.66,0.0912
21,179,100,59,0.9987,0.0036,0.6509,0.0909
22,178,100,59,0.9986,0.0035,0.6664,0.0791
23,177,100,59,0.9989,0.0031,0.6626,0.0823
24,176,100,59,0.9985,0.0036,0.6818,0.0878
25,175,100,59,0.9991,0.0029,0.6673,0.0809
26,174,100,59,0.9991,0.0029,0.6591,0.0803
27,173,100,59,0.9991,0.0029,0.6547,0.0849
28,172,100,59,0.9991,0.0029,0.6541,0.0848
29,171,100,59,0.9988,0.0032,0.6527,0.0816
30,170,99,59,0.9991,0.0029,0.6498,0.0888
31,169,99,58,0.9871,0.0259,0.6525,0.0807
32,168,98,58,0.9921,0.0153,0.6477,0.081
33,167,97,57,0.9887,0.0236,0.6494,0.0808
34,166,96,57,0.987,0.0226,0.6585,0.0858
35,165,95,57,0.9757,0.0253,0.6405,0.0765
36,164,94,57,0.9731,0.0263,0.6415,0.0867
37,163,93,57,0.9745,0.0232,0.6664,0.0858
38,162,93,56,0.9745,0.0247,0.6476,0.082
39,161,92,56,0.9613,0.0333,0.6681,0.0852
40,160,91,56,0.9538,0.0315,0.6478,0.0792
41,159,90,56,0.9576,0.0353,0.6444,0.08
42,158,89,56,0.9423,0.0348,0.6613,0.0842
43,157,88,56,0.9462,0.0356,0.646,0.0771
44,156,87,55,0.9223,0.0409,0.6718,0.0857
45,155,86,54,0.9229,0.0404,0.6685,0.0818
46,154,85,54,0.9334,0.033,0.6654,0.082
47,153,84,54,0.9248,0.04,0.6695,0.0886
48,152,83,53,0.9253,0.0338,0.6612,0.0884
49,151,82,52,0.9249,0.0411,0.6711,0.0823
50,150,82,51,0.9061,0.0476,0.6736,0.0918
51,149,81,50,0.9074,0.0447,0.6455,0.0851
52,148,80,50,0.9092,0.0435,0.6548,0.0899
53,147,79,49,0.9021,0.0435,0.655,0.0761
54,146,78,49,0.9143,0.0483,0.6625,0.0734
55,145,77,49,0.902,0.0416,0.6559,0.0858
56,144,76,48,0.8984,0.0447,0.6516,0.0801
57,143,75,48,0.8971,0.0387,0.6456,0.0893
58,142,74,47,0.8899,0.0423,0.6575,0.079
59,141,73,47,0.8946,0.0432,0.6655,0.0828
60,140,72,46,0.8832,0.0442,0.656,0.0845
61,139,71,45,0.8873,0.0387,0.6519,0.0858
62,138,70,45,0.8681,0.0448,0.6492,0.0847
63,137,69,45,0.86,0.042,0.642,0.0894
64,136,68,44,0.8616,0.0467,0.6486,0.0826
65,135,67,43,0.8679,0.041,0.6543,0.0824
66,134,66,42,0.8569,0.0489,0.6599,0.0812
67,133,65,41,0.8582,0.0369,0.6428,0.089
68,132,64,40,0.8557,0.0438,0.6651,0.0904
69,131,63,39,0.8523,0.0448,0.6468,0.0798
70,130,62,38,0.8476,0.0459,0.662,0.0804
71,129,61,37,0.828,0.0543,0.6533,0.0807
72,128,60,36,0.8176,0.0491,0.66,0.0824
73,127,59,35,0.8402,0.0514,0.6508,0.0786
74,126,58,34,0.8234,0.0527,0.6572,0.0843
75,125,58,33,0.821,0.0516,0.6519,0.0797
76,124,57,33,0.8158,0.0503,0.6528,0.0766
77,123,56,32,0.8109,0.0474,0.6525,0.08
78,122,55,31,0.7981,0.0494,0.647,0.086
79,121,54,30,0.8001,0.048,0.645,0.0825
80,120,53,30,0.7974,0.045,0.6487,0.0832
81,119,52,29,0.7901,0.0512,0.6514,0.0902
82,118,51,29,0.7773,0.0498,0.6581,0.0844
