timepoints_reduced,remaining_timepoints,ker_rank,gen_rank,mean_acc_curves,std_acc_curves,mean_acc_input,std_acc_input
1,199,78,47,0.9947,0.0091,0.6652,0.0822
2,198,78,47,0.9927,0.0111,0.6396,0.0874
3,197,78,47,0.9945,0.0088,0.6767,0.0856
4,196,78,47,0.993,0.0103,0.6466,0.0798
5,195,78,47,0.9944,0.0098,0.6558,0.09
6,194,78,47,0.9942,0.0089,0.6574,0.0766
7,193,78,47,0.9941,0.0097,0.6477,0.0875
8,192,78,47,0.9936,0.0094,0.6729,0.0843
9,191,78,47,0.9932,0.0109,0.6504,0.0833
10,190,78,47,0.9932,0.0101,0.6521,0.0797
11,189,78,47,0.9924,0.0112,0.6551,0.0863
12,188,78,47,0.9935,0.0103,0.6692,0.0835
13,187,78,47,0.9905,0.0113,0.6548,0.0878
14,186,78,47,0.9934,0.0102,0.6577,0.0803
15,185,78,47,0.9922,0.0108,0.6592,0.0803
16,184,78,47,0.9932,0.0101,0.6496,0.0785
17,183,78,47,0.9938,0.0107,0.6727,0.0824
18,182,78,47,0.9946,0.0092,0.6551,0.0989
19,181,78,47,0.9926,0.0102,0.6519,0.089
20,180,78,47,0.9923,0.0105,0.6522,0.0845
21,179,78,47,0.9942,0.0089,0.6555,0.0856
22,178,78,47,0.9929,0.01,0.6667,0.0909
23,177,78,47,0.9952,0.0082,0.6631,0.0865
24,176,78,47,0.9932,0.0098,0.6493,0.082
25,175,78,47,0.9941,0.0098,0.6582,0.0831
26,174,78,47,0.9926,0.0115,0.6498,0.0887
27,173,78,47,0.9926,0.0105,0.6604,0.0879
28,172,78,47,0.9932,0.0112,0.6498,0.083
29,171,78,47,0.9941,0.0097,0.6515,0.0815
30,170,78,47,0.9932,0.0106,0.6644,0.085
31,169,78,47,0.9929,0.0101,0.66,0.0804
32,168,78,47,0.9932,0.0104,0.6471,0.0834
33,167,78,47,0.9941,0.0097,0.6661,0.0784
34,166,78,47,0.9945,0.0093,0.6586,0.0772
35,165,78,47,0.9931,0.01,0.6586,0.0792
36,164,78,47,0.9936,0.0089,0.6529,0.0853
37,163,78,47,0.9926,0.0109,0.6542,0.0861
38,162,78,47,0.9938,0.0097,0.659,0.0777
39,161,78,47,0.9945,0.0089,0.6656,0.094
40,160,78,47,0.9943,0.0092,0.6551,0.0812
41,159,78,47,0.993,0.0116,0.6576,0.0846
42,158,78,47,0.9928,0.0111,0.6523,0.0826
43,157,78,47,0.9939,0.0103,0.6629,0.0885
44,156,78,47,0.9936,0.0093,0.6328,0.0723
45,155,78,47,0.9951,0.0087,0.6451,0.0822
46,154,78,47,0.9919,0.0111,0.6486,0.0787
47,153,78,47,0.9928,0.0098,0.6544,0.0728
48,152,78,47,0.993,0.0106,0.6546,0.0868
49,151,78,47,0.9929,0.01,0.6683,0.087
50,150,78,47,0.9942,0.0084,0.65,0.0732
51,149,78,47,0.9931,0.0114,0.6675,0.0943
52,148,78,47,0.9939,0.0093,0.6696,0.0784
53,147,78,47,0.9926,0.0102,0.6664,0.0829
54,146,78,47,0.9928,0.0103,0.6629,0.0903
55,145,78,47,0.9942,0.0107,0.6575,0.0864
56,144,78,47,0.993,0.0106,0.6455,0.074
57,143,78,47,0.9931,0.0102,0.6681,0.0794
58,142,78,48,0.9941,0.0101,0.6528,0.0933
59,141,78,48,0.9941,0.0104,0.6541,0.0886
60,140,78,48,0.9935,0.0098,0.6661,0.0892
61,139,78,48,0.9935,0.0093,0.6661,0.0876
62,138,78,48,0.9936,0.0099,0.6635,0.0838
63,137,78,48,0.9917,0.0111,0.6588,0.078
64,136,78,48,0.9925,0.0109,0.6556,0.0843
65,135,78,48,0.993,0.0106,0.6544,0.0819
66,134,78,48,0.9938,0.0102,0.6438,0.0825
67,133,78,48,0.9931,0.0104,0.6713,0.0875
68,132,78,48,0.994,0.0097,0.6435,0.097
69,131,78,48,0.9923,0.0102,0.6471,0.0804
70,130,78,48,0.9933,0.0111,0.6571,0.0839
71,129,78,48,0.995,0.009,0.6636,0.0782
72,128,78,48,0.9929,0.0103,0.662,0.0852
73,127,78,48,0.992,0.013,0.6594,0.0821
74,126,78,48,0.991,0.0106,0.6594,0.0906
75,125,78,48,0.9926,0.0099,0.6611,0.0878
76,124,78,48,0.9921,0.0117,0.6467,0.0779
77,123,78,48,0.9906,0.0125,0.6553,0.0751
78,122,78,48,0.9942,0.0086,0.6418,0.084
79,121,78,48,0.9931,0.0101,0.6576,0.0793
80,120,78,48,0.9931,0.0106,0.6521,0.0839
81,119,78,48,0.993,0.0108,0.6506,0.0908
82,118,78,48,0.9937,0.0103,0.6542,0.0852
83,117,78,48,0.9937,0.0105,0.6616,0.0932
84,116,78,48,0.9928,0.011,0.6559,0.0767
85,115,78,48,0.9935,0.0104,0.6519,0.0816
86,114,77,48,0.9927,0.011,0.6507,0.0842
87,113,76,48,0.9948,0.0075,0.6509,0.073
88,112,75,48,0.9942,0.0095,0.671,0.0857
89,111,74,47,0.9728,0.0358,0.6444,0.0841
90,110,73,47,0.9748,0.0341,0.6593,0.0766
91,109,72,46,0.9662,0.0278,0.649,0.0952
92,108,71,46,0.9595,0.0295,0.6571,0.0966
93,107,70,46,0.9519,0.0353,0.646,0.0832
94,106,69,45,0.941,0.0365,0.64,0.0803
95,105,68,44,0.9356,0.0408,0.6487,0.0821
96,104,67,43,0.9205,0.0359,0.6546,0.0932
97,103,66,43,0.9166,0.0461,0.6498,0.092
98,102,65,42,0.9197,0.0425,0.6571,0.0791
99,101,64,41,0.904,0.0415,0.656,0.083
100,100,63,40,0.8913,0.0514,0.6548,0.0769
101,99,63,39,0.894,0.0457,0.6472,0.0892
102,98,62,39,0.896,0.0454,0.6599,0.0843
103,97,61,38,0.8943,0.0453,0.6614,0.0818
104,96,60,37,0.8947,0.0443,0.6484,0.096
105,95,59,36,0.8896,0.0458,0.6529,0.0788
106,94,58,35,0.8858,0.0379,0.6539,0.0813
107,93,57,34,0.8826,0.0453,0.675,0.085
108,92,56,33,0.8655,0.0425,0.6573,0.0832
109,91,55,32,0.8596,0.0434,0.6523,0.0964
110,90,54,32,0.8595,0.0482,0.6471,0.0831
111,89,53,31,0.8582,0.0464,0.6448,0.0798
112,88,52,30,0.841,0.0504,0.647,0.0914
113,87,51,29,0.8425,0.0522,0.6602,0.0862
114,86,50,28,0.8391,0.0476,0.6337,0.0863
115,85,49,27,0.8179,0.046,0.6621,0.0944
116,84,48,27,0.8114,0.0488,0.6629,0.0809
117,83,47,26,0.8098,0.0507,0.6558,0.0797
118,82,46,25,0.7907,0.0482,0.6393,0.078
119,81,45,24,0.7786,0.0487,0.6578,0.0853
120,80,44,24,0.7625,0.0578,0.6532,0.0749
121,79,43,24,0.7581,0.0617,0.6649,0.0905
122,78,42,23,0.7544,0.0566,0.6499,0.0756
123,77,41,23,0.7461,0.0537,0.655,0.0868
124,76,40,23,0.7307,0.0665,0.6647,0.0794
125,75,39,22,0.7291,0.0597,0.6613,0.0858
126,74,39,22,0.7317,0.0678,0.6458,0.0801
127,73,38,22,0.7355,0.0635,0.6589,0.0887
128,72,37,22,0.7273,0.062,0.6523,0.0851
129,71,36,21,0.7115,0.0623,0.6612,0.0771
130,70,35,21,0.7055,0.0645,0.6482,0.0755
131,69,35,21,0.7104,0.0805,0.6627,0.0962
132,68,34,20,0.7015,0.0643,0.6493,0.0762
133,67,34,20,0.6911,0.0723,0.6649,0.0786
134,66,33,19,0.6945,0.0601,0.6616,0.0771
135,65,32,18,0.6904,0.0563,0.6598,0.077
136,64,31,17,0.6771,0.056,0.6533,0.0874
137,63,31,16,0.6551,0.0615,0.653,0.0758
138,62,30,15,0.6567,0.0619,0.6693,0.0882
139,61,30,14,0.6668,0.0616,0.6534,0.0849
140,60,29,13,0.6525,0.05,0.6639,0.0821
141,59,29,13,0.6543,0.0587,0.6521,0.0751
142,58,28,12,0.6629,0.0663,0.6738,0.0907
143,57,27,11,0.66,0.0715,0.6793,0.0978
144,56,27,10,0.6493,0.0613,0.6579,0.0835
