model,final_accuracy,plateau_timepoint,plateau_accuracy,stability_reached
mut_1,0.9984,141,0.9985,True
mut_10,0.9979,141,0.9983,True
mut_11,0.6323,173,0.6391,True
mut_12,0.9959,132,0.9955,True
mut_13,0.9991,140,0.9983,True
mut_14,0.8697,183,0.8682,True
mut_15,0.9992,140,0.9991,True
mut_16,0.9995,139,0.9993,True
mut_17,0.6326,159,0.6383,True
mut_18,0.9958,140,0.9958,True
mut_19,0.9952,141,0.9954,True
mut_2,0.9952,140,0.9946,True
mut_20,0.9954,140,0.995,True
mut_21,1.0,140,1.0,True
mut_22,0.9968,139,0.997,True
mut_23,0.9896,139,0.9909,True
mut_24,0.9985,141,0.9985,True
mut_25,0.9985,140,0.9989,True
mut_26,0.9904,140,0.9924,True
mut_27,0.9941,141,0.9935,True
mut_28,0.9991,140,0.9986,True
mut_29,0.999,132,0.9986,True
mut_3,0.9997,132,0.9997,True
mut_4,0.9906,140,0.9913,True
mut_5,0.9976,139,0.9975,True
mut_6,0.9872,141,0.9877,True
mut_7,0.9965,141,0.9976,True
mut_8,0.9992,141,0.9993,True
mut_9,0.994,132,0.9943,True
